,Omega_m,omega_b,h,lnAs,ns,z_pk,s8,gridname,npoints_kmax02,f,,omega_cdm
ChallengeA,0.307115,0.02214,0.6777,3.0824,0.96,0.5617,0.8228,ChallengeA,57,0.1852464212,,0.1190036485
ChallengeB,0.307115,0.02214,0.6777,3.0824,0.96,0.5617,0.8228,ChallengeA,57,0.1852464212,,0.1190036485
ChallengeC,0.27,0.02303,0.7,3.155633809,0.96,0.441,0.82,ChallengeC,57,0.2107623318,,0.10927
ChallengeD,0.286,0.02303,0.7,3.0954,0.96,0.5,0.82,ChallengeD,57,0.1966527197,,0.11711
ChallengeE,0.286,0.02303,0.7,3.0954,0.96,0.5,0.82,ChallengeD,57,0.1966527197,,0.11711
ChallengeF,0.307115,0.02214,0.6777,3.0824,0.96,0.5617,0.8228,ChallengeA,57,0.1852464212,,0.1190036485
ChallengeG,0.307115,0.02214,0.6777,3.0824,0.96,0.5617,0.8228,ChallengeA,57,0.1852464212,,0.1190036485
LightConeDida,0.307115,0.022045,0.6777,3.091,0.96,0.61,0.8288,LightConeDida,57,0.1852428466,,0.1190059449
LightConeHector,0.31,0.022068,0.6711,3.127862277,0.9624,0.57,0.8475,,57,0.1877355705,,0.1175483151
LightConeHectorTrue,0.307115,0.022045,0.6777,3.091,0.96,0.505,0.8288,LightConeHector,57,0.1852459341,,0.1190056349
runPB,0.292,0.022,0.69,3.051923256,0.965,0.55,0.82,,57,0.1880001231,,0.1170212
CFAlbert,0.307115,0.02204531,0.6777,3.06477208,0.96,0.59,0.8288,,62,0.1852459341,,0.1190056349
LightConeDidaz1,0.307115,0.022045,0.6777,3.064762368,0.96,0.38,0.8288,,57,0.1852428466,,0.1190059449
ChallengeJapanCMASS2,0.3,0.0216,0.677,3.064762368,0.9649,0.61,0.8288,,57,0.1863696487,,0.1158987
Planck2018,0.3153,0.02237,0.6736,3.044,0.9649,0.57,,BossData,,0.1868368989,,0.1199977099
PeriodicDida,0.307115,0.022045,0.6777,3.091,0.96,0.55,0.8288,,57,0.1852459341,,0.1190056349
